round,kickoff,matchCentreUrl,home,away
1,2026-03-01T02:15:00Z,/draw/nrl-premiership/2026/round-1/knights-v-cowboys/,Knights,Cowboys
1,2026-03-01T04:30:00Z,/draw/nrl-premiership/2026/round-1/bulldogs-v-dragons/,Bulldogs,Dragons
1,2026-03-05T09:00:00Z,/draw/nrl-premiership/2026/round-1/storm-v-eels/,Storm,Eels
1,2026-03-06T07:00:00Z,/draw/nrl-premiership/2026/round-1/warriors-v-roosters/,Warriors,Roosters
1,2026-03-06T09:00:00Z,/draw/nrl-premiership/2026/round-1/broncos-v-panthers/,Broncos,Panthers
1,2026-03-07T06:30:00Z,/draw/nrl-premiership/2026/round-1/sharks-v-titans/,Sharks,Titans
1,2026-03-07T08:35:00Z,/draw/nrl-premiership/2026/round-1/sea-eagles-v-raiders/,Sea Eagles,Raiders
1,2026-03-08T05:05:00Z,/draw/nrl-premiership/2026/round-1/dolphins-v-rabbitohs/,Dolphins,Rabbitohs
2,2026-03-12T09:00:00Z,/draw/nrl-premiership/2026/round-2/broncos-v-eels/,Broncos,Eels
2,2026-03-13T07:00:00Z,/draw/nrl-premiership/2026/round-2/warriors-v-raiders/,Warriors,Raiders
2,2026-03-13T09:00:00Z,/draw/nrl-premiership/2026/round-2/roosters-v-rabbitohs/,Roosters,Rabbitohs
2,2026-03-14T04:00:00Z,/draw/nrl-premiership/2026/round-2/wests-tigers-v-cowboys/,Wests Tigers,Cowboys
2,2026-03-14T06:30:00Z,/draw/nrl-premiership/2026/round-2/dragons-v-storm/,Dragons,Storm
2,2026-03-14T08:35:00Z,/draw/nrl-premiership/2026/round-2/panthers-v-sharks/,Panthers,Sharks
2,2026-03-15T05:05:00Z,/draw/nrl-premiership/2026/round-2/sea-eagles-v-knights/,Sea Eagles,Knights
2,2026-03-15T07:15:00Z,/draw/nrl-premiership/2026/round-2/dolphins-v-titans/,Dolphins,Titans
3,2026-03-19T09:00:00Z,/draw/nrl-premiership/2026/round-3/raiders-v-bulldogs/,Raiders,Bulldogs
3,2026-03-20T07:00:00Z,/draw/nrl-premiership/2026/round-3/roosters-v-panthers/,Roosters,Panthers
3,2026-03-20T09:00:00Z,/draw/nrl-premiership/2026/round-3/storm-v-broncos/,Storm,Broncos
3,2026-03-21T04:00:00Z,/draw/nrl-premiership/2026/round-3/knights-v-warriors/,Knights,Warriors
3,2026-03-21T06:30:00Z,/draw/nrl-premiership/2026/round-3/sharks-v-dolphins/,Sharks,Dolphins
3,2026-03-21T08:35:00Z,/draw/nrl-premiership/2026/round-3/rabbitohs-v-wests-tigers/,Rabbitohs,Wests Tigers
3,2026-03-22T05:05:00Z,/draw/nrl-premiership/2026/round-3/eels-v-dragons/,Eels,Dragons
3,2026-03-22T07:15:00Z,/draw/nrl-premiership/2026/round-3/cowboys-v-titans/,Cowboys,Titans
4,2026-03-26T09:00:00Z,/draw/nrl-premiership/2026/round-4/sea-eagles-v-roosters/,Sea Eagles,Roosters
4,2026-03-27T07:00:00Z,/draw/nrl-premiership/2026/round-4/warriors-v-wests-tigers/,Warriors,Wests Tigers
4,2026-03-27T09:00:00Z,/draw/nrl-premiership/2026/round-4/broncos-v-dolphins/,Broncos,Dolphins
4,2026-03-28T04:00:00Z,/draw/nrl-premiership/2026/round-4/bulldogs-v-knights/,Bulldogs,Knights
4,2026-03-28T06:30:00Z,/draw/nrl-premiership/2026/round-4/panthers-v-eels/,Panthers,Eels
4,2026-03-28T08:35:00Z,/draw/nrl-premiership/2026/round-4/cowboys-v-storm/,Cowboys,Storm
4,2026-03-29T05:05:00Z,/draw/nrl-premiership/2026/round-4/raiders-v-sharks/,Raiders,Sharks
4,2026-03-29T07:15:00Z,/draw/nrl-premiership/2026/round-4/titans-v-dragons/,Titans,Dragons
5,2026-04-02T09:00:00Z,/draw/nrl-premiership/2026/round-5/dolphins-v-sea-eagles/,Dolphins,Sea Eagles
5,2026-04-03T05:05:00Z,/draw/nrl-premiership/2026/round-5/rabbitohs-v-bulldogs/,Rabbitohs,Bulldogs
5,2026-04-03T09:00:00Z,/draw/nrl-premiership/2026/round-5/panthers-v-storm/,Panthers,Storm
5,2026-04-04T06:30:00Z,/draw/nrl-premiership/2026/round-5/dragons-v-cowboys/,Dragons,Cowboys
5,2026-04-04T08:35:00Z,/draw/nrl-premiership/2026/round-5/titans-v-broncos/,Titans,Broncos
5,2026-04-05T04:00:00Z,/draw/nrl-premiership/2026/round-5/sharks-v-warriors/,Sharks,Warriors
5,2026-04-05T06:05:00Z,/draw/nrl-premiership/2026/round-5/knights-v-raiders/,Knights,Raiders
5,2026-04-06T06:05:00Z,/draw/nrl-premiership/2026/round-5/eels-v-wests-tigers/,Eels,Wests Tigers
6,2026-04-09T09:50:00Z,/draw/nrl-premiership/2026/round-6/bulldogs-v-panthers/,Bulldogs,Panthers
6,2026-04-10T08:00:00Z,/draw/nrl-premiership/2026/round-6/dragons-v-sea-eagles/,Dragons,Sea Eagles
6,2026-04-10T10:00:00Z,/draw/nrl-premiership/2026/round-6/broncos-v-cowboys/,Broncos,Cowboys
6,2026-04-11T05:00:00Z,/draw/nrl-premiership/2026/round-6/rabbitohs-v-raiders/,Rabbitohs,Raiders
6,2026-04-11T07:30:00Z,/draw/nrl-premiership/2026/round-6/sharks-v-roosters/,Sharks,Roosters
6,2026-04-11T09:35:00Z,/draw/nrl-premiership/2026/round-6/storm-v-warriors/,Storm,Warriors
6,2026-04-12T04:00:00Z,/draw/nrl-premiership/2026/round-6/eels-v-titans/,Eels,Titans
6,2026-04-12T06:05:00Z,/draw/nrl-premiership/2026/round-6/wests-tigers-v-knights/,Wests Tigers,Knights
7,2026-04-16T09:50:00Z,/draw/nrl-premiership/2026/round-7/cowboys-v-sea-eagles/,Cowboys,Sea Eagles
7,2026-04-17T08:00:00Z,/draw/nrl-premiership/2026/round-7/raiders-v-storm/,Raiders,Storm
7,2026-04-17T10:00:00Z,/draw/nrl-premiership/2026/round-7/dolphins-v-panthers/,Dolphins,Panthers
7,2026-04-18T05:00:00Z,/draw/nrl-premiership/2026/round-7/warriors-v-titans/,Warriors,Titans
7,2026-04-18T07:30:00Z,/draw/nrl-premiership/2026/round-7/rabbitohs-v-dragons/,Rabbitohs,Dragons
7,2026-04-18T09:35:00Z,/draw/nrl-premiership/2026/round-7/wests-tigers-v-broncos/,Wests Tigers,Broncos
7,2026-04-19T04:00:00Z,/draw/nrl-premiership/2026/round-7/roosters-v-knights/,Roosters,Knights
7,2026-04-19T06:05:00Z,/draw/nrl-premiership/2026/round-7/eels-v-bulldogs/,Eels,Bulldogs
8,2026-04-23T09:50:00Z,/draw/nrl-premiership/2026/round-8/wests-tigers-v-raiders/,Wests Tigers,Raiders
8,2026-04-24T08:00:00Z,/draw/nrl-premiership/2026/round-8/cowboys-v-sharks/,Cowboys,Sharks
8,2026-04-24T10:00:00Z,/draw/nrl-premiership/2026/round-8/broncos-v-bulldogs/,Broncos,Bulldogs
8,2026-04-25T06:00:00Z,/draw/nrl-premiership/2026/round-8/dragons-v-roosters/,Dragons,Roosters
